source,period,year_month,total_sampled,covid_count
the_one_show,covid,2020-04,14,1
the_one_show,covid,2020-08,17,1
the_one_show,covid,2020-12,15,0
the_one_show,covid,2020-02,25,0
the_one_show,covid,2020-01,16,0
the_one_show,covid,2020-07,16,1
the_one_show,covid,2020-06,17,0
the_one_show,covid,2020-03,16,1
the_one_show,covid,2020-05,19,2
the_one_show,covid,2020-11,17,0
the_one_show,covid,2020-10,14,0
the_one_show,covid,2020-09,16,4
the_one_show,covid,2021-04,19,0
the_one_show,covid,2021-08,14,0
the_one_show,covid,2021-12,15,0
the_one_show,covid,2021-02,17,1
the_one_show,covid,2021-01,20,2
the_one_show,covid,2021-07,17,0
the_one_show,covid,2021-06,19,0
the_one_show,covid,2021-03,17,0
the_one_show,covid,2021-05,18,0
the_one_show,covid,2021-11,15,1
the_one_show,covid,2021-10,19,1
the_one_show,covid,2021-09,18,0
the_one_show,covid,2022-04,20,0
the_one_show,covid,2022-08,20,0
the_one_show,covid,2022-12,23,0
the_one_show,covid,2022-02,32,0
the_one_show,covid,2022-01,17,0
the_one_show,covid,2022-07,19,0
the_one_show,covid,2022-06,38,1
the_one_show,covid,2022-03,16,1
the_one_show,covid,2022-05,19,0
the_one_show,covid,2022-11,22,0
the_one_show,covid,2022-10,20,0
the_one_show,covid,2022-09,19,0
the_one_show,covid,2023-04,15,1
the_one_show,covid,2023-02,16,0
the_one_show,covid,2023-01,22,0
the_one_show,covid,2023-03,19,0
the_one_show,covid,2023-05,20,0
