source,period,year_month,sentence_count,anger_pct,disgust_pct,fear_pct,joy_pct,neutral_pct,sadness_pct,surprise_pct
graham_norton,covid,2020-01,37,2.7,2.7,2.7,16.22,48.65,10.81,16.22
graham_norton,covid,2020-02,31,3.23,6.45,3.23,9.68,58.06,6.45,12.9
graham_norton,covid,2020-03,30,10.0,6.67,0.0,13.33,46.67,3.33,20.0
graham_norton,covid,2020-04,16,0.0,0.0,0.0,31.25,62.5,6.25,0.0
graham_norton,covid,2020-05,16,0.0,0.0,0.0,37.5,31.25,12.5,18.75
graham_norton,covid,2020-06,20,5.0,0.0,5.0,35.0,35.0,5.0,15.0
graham_norton,covid,2020-09,18,5.56,5.56,11.11,11.11,38.89,22.22,5.56
graham_norton,covid,2020-10,20,5.0,5.0,5.0,20.0,35.0,20.0,10.0
graham_norton,covid,2020-11,26,7.69,3.85,0.0,7.69,50.0,7.69,23.08
graham_norton,covid,2020-12,27,7.41,0.0,3.7,25.93,44.44,3.7,14.81
graham_norton,covid,2021-01,27,0.0,3.7,0.0,22.22,44.44,14.81,14.81
graham_norton,covid,2021-02,26,3.85,11.54,0.0,23.08,42.31,3.85,15.38
graham_norton,covid,2021-03,31,0.0,0.0,3.23,16.13,41.94,6.45,32.26
graham_norton,covid,2021-04,32,0.0,0.0,0.0,12.5,53.12,6.25,28.12
graham_norton,covid,2021-05,35,8.57,2.86,11.43,8.57,45.71,0.0,22.86
graham_norton,covid,2021-09,29,0.0,3.45,3.45,13.79,58.62,6.9,13.79
graham_norton,covid,2021-10,29,3.45,0.0,0.0,6.9,75.86,3.45,10.34
graham_norton,covid,2021-11,41,12.2,0.0,0.0,19.51,48.78,2.44,17.07
graham_norton,covid,2021-12,34,2.94,5.88,5.88,17.65,47.06,2.94,17.65
graham_norton,covid,2022-01,35,2.86,0.0,2.86,28.57,51.43,2.86,11.43
graham_norton,covid,2022-02,28,0.0,3.57,0.0,7.14,53.57,7.14,28.57
graham_norton,covid,2022-03,22,0.0,4.55,0.0,22.73,45.45,0.0,27.27
graham_norton,covid,2022-05,87,4.6,1.15,2.3,26.44,51.72,3.45,10.34
graham_norton,covid,2022-06,35,0.0,2.86,0.0,20.0,60.0,0.0,17.14
graham_norton,covid,2022-07,36,16.67,2.78,2.78,5.56,47.22,2.78,22.22
graham_norton,covid,2022-08,37,10.81,2.7,0.0,16.22,43.24,2.7,24.32
graham_norton,covid,2022-09,18,0.0,16.67,0.0,5.56,55.56,5.56,16.67
graham_norton,covid,2022-10,21,0.0,4.76,0.0,9.52,38.1,9.52,38.1
graham_norton,covid,2022-11,25,0.0,12.0,0.0,12.0,48.0,8.0,20.0
graham_norton,covid,2022-12,22,4.55,0.0,4.55,13.64,68.18,0.0,9.09
graham_norton,covid,2023-01,22,4.55,9.09,9.09,9.09,40.91,4.55,22.73
graham_norton,covid,2023-02,25,4.0,0.0,0.0,8.0,80.0,4.0,4.0
